uid,category,rate_useful,rate_fans,rate_review,stars,review_count,price,label
1wa8rLyLiPDNIMjKphySOA,mexican,4.333333333333333,4.333333333333333,4.333333333333333,4.333333333333333,3,1.3333333333333333,1
2RZca3WXcbMIKxDpUv60RA,american (new),4.666666666666667,4.666666666666667,4.666666666666667,4.666666666666667,3,1.6666666666666667,0
1FtEjXBYGWkewoZzrA_3og,sandwiches,3.8333333333333335,3.8333333333333335,3.8333333333333335,3.8333333333333335,6,1.8333333333333333,0
B4dRPK35LQoGxQV-Fy0ujw,american (new),5.0,5.0,5.0,5.0,3,2.0,0
795ySGhZ4-zaKy3paQQEzw,bars,4.0,4.0,4.0,4.0,1,3.0,1
S8jYh-eEtKcPpLg0HdpNIw,bars,4.0,4.0,4.0,4.0,2,2.0,1
HilvQ1Zxc3l3vvbEAP-h6w,mexican,5.0,5.0,5.0,5.0,2,1.5,0
eSifDU53mBPBNGWxur6lXw,bars,3.6,3.6,3.6,3.6,5,2.0,0
H4Btu-Vx5Crk_d5f3vkN8w,sushi bars,1.0,1.0,1.0,1.0,1,2.0,0
PrMHrCOY6rltnirFlF7FiQ,american (traditional),3.5,3.5,3.5,3.5,2,3.0,0
QWPelHItKJgCfpNsejzK-w,indian,3.0,3.0,3.0,3.0,5,1.6,1
hS-6yZUp2JAl3NUUG_rDvA,mexican,3.4285714285714284,3.4285714285714284,3.4285714285714284,3.4285714285714284,7,1.2857142857142858,0
LTNRW9u-nYXDSCUSS32Gkg,bars,2.0,2.0,2.0,2.0,1,2.0,0
dz5HS5vsPlZpGa0b5Kecag,lounges,4.0,4.0,4.0,4.0,1,4.0,0
EDbrTGqP7XawKOKHiMneDw,coffee & tea,5.0,5.0,5.0,5.0,2,1.5,0
oYLYTBHxsDN2-NiR-F2ZCg,southern,5.0,5.0,5.0,5.0,1,2.0,0
bWV1fBhoneIp4X9cc30rxg,italian,2.7142857142857144,2.7142857142857144,2.7142857142857144,2.7142857142857144,7,2.5714285714285716,1
tvJsg36x-vfF-ZR6UH0TPA,thai,5.0,5.0,5.0,5.0,3,2.3333333333333335,1
msjmOpMb3QrIHagu-4pqGg,pizza,5.0,5.0,5.0,5.0,1,1.0,0
QpGJltSHv4Y9UKAu_qIjMQ,bakeries,1.0,1.0,1.0,1.0,1,2.0,0
iamxhPf0GEpDOFVXmO-mbg,coffee & tea,3.0,3.0,3.0,3.0,2,1.0,0
QNiMz3khnM7iAgr44DOXQw,chinese,4.0,4.0,4.0,4.0,2,2.0,1
Me5jFmm9lrWCfKaRI4OtFQ,vietnamese,4.5,4.5,4.5,4.5,2,2.0,0
LM4lHsTjedUyuWzMztqISQ,coffee & tea,4.0,4.0,4.0,4.0,1,1.0,1
7Oc0CT5WZv443tONqyIcGA,vegan,4.5,4.5,4.5,4.5,4,2.0,0
GoMs1Bfb1Vf1yNUV4j-Ocw,bars,4.0,4.0,4.0,4.0,1,2.0,1
GKj_KcMj4N9cFri1hO3xbg,bars,3.0,3.0,3.0,3.0,5,2.0,1
tSD-nVP91iNYhdF22OJtnw,canadian (new),3.5,3.5,3.5,3.5,2,3.0,1
RiQb2TgxXl5POGqB2faAkQ,asian fusion,2.5,2.5,2.5,2.5,2,2.0,1
18a4WNaqluuLePftEnh7fw,mexican,4.0,4.0,4.0,4.0,1,2.0,1
8WC_IS_9IngzmGpaOAr-LQ,vegetarian,4.0,4.0,4.0,4.0,1,2.0,0
sDaHTk8j1ATaiDaSwqc05A,chinese,3.823529411764706,3.823529411764706,3.823529411764706,3.823529411764706,17,1.8823529411764706,1
hpSoC2bzRtHprHztO2U63A,cocktail bars,3.0,3.0,3.0,3.0,1,2.0,0
gv-twUiSnNNzCrV0cYpurw,vietnamese,3.8,3.8,3.8,3.8,5,1.4,0
WIADCfUJ5g-0Z40k3KCGqA,pizza,3.0,3.0,3.0,3.0,2,1.5,0
j3A0V53STta8CfGSn338TA,gluten-free,5.0,5.0,5.0,5.0,1,2.0,0
W2sLPbSBpVqUJ3EsFvUW1A,chinese,3.7142857142857144,3.7142857142857144,3.7142857142857144,3.7142857142857144,7,1.7142857142857142,0
NI3j168oHwH_OHn1f9WGQg,desserts,4.0,4.0,4.0,4.0,1,1.0,1
YAI4dXy_yAiwpK_MaJy2qw,steakhouses,4.75,4.75,4.75,4.75,4,2.5,1
L0pFu4a4dZdzMKybgk5sGA,bars,1.0,1.0,1.0,1.0,1,2.0,1
9xazRuy68Kz9hvebDBT59w,specialty food,5.0,5.0,5.0,5.0,1,1.0,0
Imz5hjHoqfUGzL3_KwO2uA,bars,4.0,4.0,4.0,4.0,1,1.0,0
kHnpc8Xjhqak_GFI9dlmUw,italian,4.0,4.0,4.0,4.0,1,2.0,0
LyFEeiIfsoevTYfum30-tQ,american (new),4.0,4.0,4.0,4.0,2,2.0,0
Jlm3Gdp8_GNPs_snnxw3bQ,bars,4.5,4.5,4.5,4.5,2,3.0,0
EEByIUq7mtCDHiibWtIp8w,bars,3.75,3.75,3.75,3.75,4,1.5,1
oZXbyyVaXHacNEKyzFuPxA,ice cream & frozen yogurt,4.0,4.0,4.0,4.0,1,1.0,1
dJBue82UvvGIaUCaFx5IVQ,bars,4.0,4.0,4.0,4.0,1,2.0,0
YmXUIEJd0GiKvGEspAjq2Q,chicken wings,1.0,1.0,1.0,1.0,4,1.25,0
lDgoBouSaQ66LDdiNLg2ng,bars,1.0,1.0,1.0,1.0,1,2.0,0
Lj1KFEWk0n-d82kZGabkaw,american (traditional),1.0,1.0,1.0,1.0,1,2.0,1
z4Neth-LRrRp-LBSiuCOYw,bakeries,3.5,3.5,3.5,3.5,2,1.5,0
bUqJxCb8FI_b1hcniDwkoA,bars,5.0,5.0,3.8333333333333335,3.8333333333333335,6,2.0,0
B9XNuwD_00SUYDx-A7Zrmw,bars,3.6666666666666665,3.6666666666666665,3.6666666666666665,3.6666666666666665,3,2.0,1
VYYKJFdUB43pUHXCpICwsA,steakhouses,5.0,5.0,5.0,5.0,1,4.0,0
HitBeoSnehT8bvq-PGRG2g,day spas,4.0,4.0,4.0,4.0,1,3.0,0
vBbqzqwH2Pt78YNUc4_DkA,italian,4.0,4.0,4.0,4.0,1,2.0,0
zHXd31UTnx3OtW9guP8YoQ,japanese,4.0,4.0,4.0,4.0,3,2.0,1
60Fh4GCHQ-c6ykMGmnw6CA,coffee & tea,1.0,1.0,1.0,1.0,1,1.0,0
9xSR6lTLen95hpxa8KR97w,burgers,2.5,2.5,2.5,2.5,2,1.0,0
zJbSYl-I2FIubtMvVDfE7A,american (new),5.0,5.0,5.0,5.0,2,2.0,0
JhjUevbyIRFuN2jPCUJvEQ,coffee & tea,4.666666666666667,4.666666666666667,4.666666666666667,4.666666666666667,3,1.3333333333333333,0
wPbNBBxt7tBAh74dvWBr7w,chinese,2.5,2.5,2.5,2.5,2,2.0,0
5KuLnYyRHAeVkwsB1Iglug,indian,3.5,3.5,3.5,3.5,2,2.0,1
w8Q-Or9cHhhGNLE-k_kXQw,american (traditional),5.0,5.0,5.0,5.0,3,1.6666666666666667,0
05UFX1jotTnvuJV1_x9MhQ,mexican,5.0,5.0,5.0,5.0,2,1.5,1
83uiRK5JoBGwkEfZc4LtQg,bars,4.0,4.0,4.0,4.0,1,2.0,1
